,close,high,low,open,ticker,vol
2003-03-20,2.0483580345,2.0745072861000002,1.9873431141999998,2.0657908687999997,SAN,34081125
2003-03-21,2.1616714577000002,2.1616714577000002,2.0570744516999997,2.0657908687999997,SAN,47457692
2003-03-24,2.0483580345,2.1006565376,2.0483580345,2.0745072861000002,SAN,25805406
2003-03-25,2.0745072861000002,2.0832237032,1.9873431141999998,2.0483580345,SAN,34473846
2003-03-26,2.0745072861000002,2.1442386234,2.0657908687999997,2.0832237032,SAN,28605583
2003-03-27,2.0483580345,2.0745072861000002,2.0483580345,2.0483580345,SAN,17854279
2003-03-28,2.0483580345,2.0657908687999997,1.9960595316,2.0483580345,SAN,20326038
2003-03-31,1.9524774458,1.9960595316,1.9524774458,1.9873431141999998,SAN,27447244
2003-04-01,2.0309252002,2.0483580345,1.9873431141999998,1.9960595316,SAN,22808077
2003-04-02,2.0832237032,2.1006565376,2.0483580345,2.0483580345,SAN,32488964
2003-04-03,2.1616714577000002,2.1703878749000003,2.0832237032,2.1006565376,SAN,44565419
2003-04-04,2.2488356293000002,2.2401192122999998,2.0832237032,2.1616714577000002,SAN,45360538
2003-04-07,2.3098505494999997,2.3359998009000003,2.3098505494999997,2.3185669666999997,SAN,39716823
2003-04-08,2.3098505494999997,2.3185669666999997,2.2575520466,2.2662684638,SAN,34211902
2003-04-09,2.3098505494999997,2.3272833841,2.1965371263,2.2575520466,SAN,44216805
2003-04-10,2.2662684638,2.3098505494999997,2.2401192122999998,2.2488356293000002,SAN,33069040
2003-04-11,2.3098505494999997,2.3098505494999997,2.2488356293000002,2.3098505494999997,SAN,27134430
2003-04-14,2.3098505494999997,2.3098505494999997,2.222686378,2.2488356293000002,SAN,23211619
2003-04-15,2.3185669666999997,2.3185669666999997,2.3098505494999997,2.3098505494999997,SAN,22881805
2003-04-16,2.3185669666999997,2.3272833841,2.3098505494999997,2.3272833841,SAN,25644651
2003-04-17,2.3359998009000003,2.3359998009000003,2.3098505494999997,2.3098505494999997,SAN,17370744
2003-04-22,2.3534326355,2.3447162184,2.3185669666999997,2.3272833841,SAN,22777313
2003-04-23,2.3447162184,2.4493132242,2.3359998009000003,2.3970147213999997,SAN,30970335
2003-04-24,2.3272833841,2.3795818871,2.3272833841,2.3359998009000003,SAN,80814723
2003-04-25,2.3272833841,2.3447162184,2.3185669666999997,2.3272833841,SAN,18511213
